Summary,Issue Type,Project Key,Priority,Assignee,Due Date,Story Points,Labels,Components,Description
"S1-ACL-01 图模型/版本/快照最小实现",Story,CDM,High,alice,2025-12-26,5,data,backend,"实现节点/版本/快照的存取接口，满足 PRD/架构契约；含最小单元测试与错误处理。DoD: 接口可读写节点/版本/快照，基本验证通过。"
"S1-ACL-02 权限网关+默认水印",Story,CDM,High,alice,2025-12-26,5,security,backend,"接入权限网关，节点/字段/附件权限校验；默认水印策略启用。DoD: 未授权访问被拒，默认水印生效，审计记录写入。"
"S1-AUD-01 审计写入管线",Story,CDM,High,alice,2025-12-26,3,observability,backend,"构建审计事件写入与重试/告警；与访问记录兼容。DoD: 写入成功率≥99%，失败有告警。"
"S1-CAN-01 脑图绘制+自由布局基础",Story,CDM,High,bob,2025-12-26,5,canvas,frontend,"实现树/逻辑图绘制，吸附/网格开关的自由布局；基础交互无阻塞。DoD: 支持创建/拖拽/折叠，网格/吸附可切换。"
"S1-CAN-02 下钻回链+粘贴树+/命令",Story,CDM,Medium,bob,2025-12-26,3,canvas,frontend,"支持节点下钻与回链、粘贴为树、命令面板触发插入。DoD: 功能可用并通过冒烟。"
"S1-FLOW-01 节点→任务映射+FS/SS",Story,CDM,High,eve,2025-12-26,3,workflow,backend,"实现节点到任务的映射，支持 FS/SS 依赖；界面展示依赖关系。DoD: 依赖可配置、可视化，状态联动。"
"S1-FLOW-02 审批驱动任务推进",Story,CDM,Medium,eve,2025-12-26,3,workflow,backend,"审批通过自动推进后续任务（简版）；记录审计。DoD: 审批成功后任务状态自动更新且有审计记录。"
"S1-COL-01 实时光标/选中+WS重连",Story,CDM,High,bob,2025-12-26,3,collaboration,frontend,"实现实时光标/选中同步，WS 心跳与重连策略。DoD: 断线重连后状态一致，延迟可接受。"
"S1-NOTI-01 评论/@mention+节流",Story,CDM,Medium,bob,2025-12-26,2,notification,frontend,"评论线程与 @mention；通知节流策略防刷屏。DoD: 发送/节流策略验证通过。"
"S1-EXP-01 PDF/PNG 导出(默认水印)",Story,CDM,High,alice,2025-12-26,5,export,backend,"支持全图/子树 PDF/PNG 导出，默认水印继承权限。DoD: 导出成功、带水印、权限校验通过。"
"S1-SHARE-01 分享链接+密级校验+失效",Story,CDM,High,bob,2025-12-26,5,sharing,frontend,"只读分享链接；密级校验；失效按钮；访问记录写入。DoD: 链接可用，失效后拒绝访问，访问被记录。"
"S1-PERF-01 1k 节点压测脚本",Story,CDM,High,dave,2025-12-26,3,performance,devops,"生成 1k 节点基线数据集与压测脚本；收集 P95 指标。DoD: 脚本可运行并产出指标报表。"
"S1-OBS-01 前端埋点+后端队列监控",Story,CDM,High,dave,2025-12-26,3,observability,devops,"前端 FPS/交互埋点；后端队列/错误监控仪表盘。DoD: 关键指标可视化并有告警阈值。"
"S1-UI-01 Tailwind 接入 spike (E1)",Story,CDM,Medium,bob,2025-12-26,2,frontend,frontend,"Spike：评估 Tailwind 接入方案，完成 PoC 卡片，输出决策与风险列表。DoD: 结论记录 + PoC 运行。"
"S1-UI-02 Tailwind bootstrap (E1)",Story,CDM,High,bob,2025-12-26,3,frontend,frontend,"安装并配置 Tailwind/PostCSS，添加 token 种子与全局入口，web dev/build 通过。DoD: 配置落库 + 构建绿。"
"S1-UI-03 Tailwind batch1 组件迁移 (E1)",Story,CDM,High,bob,2025-12-26,5,frontend,frontend,"迁移按钮/卡片/输入等 3 个通用组件到 Tailwind 并替换页面引用；附截图或 Story。DoD: lint/build 绿，页面无回归。"
